[000:11:59;268] >> Reporter: IT WAS NOT JUST
[000:12:01;337] ADS.
[000:12:01;504] INVESTIGATORS SAY THEY HAVE ALSO
[000:12:02;371] FOUND HUGE NUMBERS OF FAKE
[000:12:05;408] FACEBOOK PAGES LINKED TO THE
[000:12:06;008] RUSSIANS, LIKE THIS ONE
[000:12:08;077] DISCOVERED BY "THE NEW YORK
[000:12:08;644] TIMES," SUPPOSEDLY AN
[000:12:12;014] ANTI-CLINTON FATHER LIVING IN
[000:12:13;382] PENNSYLVANIA.
[000:12:13;716] BUT HE DIDN'T EXIST.
[000:12:14;216] THE PICTURE WAS ACTUALLY OF
[000:12:15;251] SOMEONE IN BRAZIL.
[000:12:17;853] >> THAT'S JUST INCREDIBLE.
[000:12:18;888] ALL RIGHT, BRIAN ROSS WITH US
[000:12:19;488] NOW.
[000:12:20;456] THOUSANDS OF ADS BOUGHT BY THE
[000:12:21;090] RUSSIANS, FACEBOOK ACKNOWLEDGING
[000:12:21;724] THIS.
[000:12:23;058] THEY'RE GOING TO GIVE IT TO
[000:12:25;361] CONGRESS.
[000:12:26;962] BUT YOU'VE BEEN DIGGING INTO
[000:12:27;630] THIS.
[000:12:28;130] DO WE KNOW WHICH STATES, WHICH
[000:12:28;764] VOTERS THEY WERE TRYING TO
[000:12:29;331] TARGET HERE?
[000:12:29;632] >> Reporter: WELL, DAVID, ONLY
[000:12:31;233] FACEBOOK KNOWS THE ANSWER TO
[000:12:31;834] THAT, AND SO FAR, THEY HAVE KEPT
[000:12:32;468] IT SECRET.
[000:12:34;103] BUT ONE NEW STUDY SHOWS A
[000:12:36;972] DISPROPORTION NATE
[000:12:38;174] RUSSIAN-DIRECTED FAKE NEWS POSTS
[000:12:39;909] WERE SQUARELY AIMED AT THE SWING
[000:12:41;544] STATES IN THE LAST ELECTION.
[000:12:43;112] >> BRIAN ROSS, YOU'LL STAY ON
[000:12:43;712] TOP OF THIS.
[000:12:44;013] BRIAN, THANK YOU.
